datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
1998-01-02,0.0,100000.0,0.0,100000.0,,,
1999-11-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-11-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-11-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-11-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-11-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-11-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-11-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-11-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-11-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-11-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-11-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-11-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-11-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-11-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-11-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-11-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-11-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-11-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-11-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-11-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-11-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-12-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-12-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-12-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-12-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-12-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-12-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-12-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-12-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-12-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1999-12-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
